lipid_system,property,chain,type,T_bin,n_values,mean,median,std,min,max,spread_pct,n_sources,n_force_fields,unit
POPC:TLCL_0H (4:1),area_per_lipid,-,computational,30C,1,77.89,77.89,0.0,77.89,77.89,0.0,1,1,A^2
POPE,area_per_lipid,-,computational,25C,2,53.545,53.545,3.845,49.7,57.39,14.4,2,2,A^2
POPE,area_per_lipid,-,computational,30C,6,58.215,57.6,3.8129,54.68,66.11,19.6,4,3,A^2
POPE,area_per_lipid,-,computational,35C,20,59.337,59.15,4.4939,51.64,67.19,26.2,16,7,A^2
POPE,area_per_lipid,-,computational,40C,4,59.82,59.91,0.8367,58.69,60.77,3.5,2,1,A^2
POPE:DOG (29:3),area_per_lipid,-,computational,35C,1,56.72,56.72,0.0,56.72,56.72,0.0,1,1,A^2
POPE:DOG:CHOL (37:6:21),area_per_lipid,-,computational,35C,1,45.89,45.89,0.0,45.89,45.89,0.0,1,1,A^2
POPE:POPC:POPS:CHOL:SM16:GM1 (24:38:5:20:9:4),area_per_lipid,-,computational,25C,3,51.21,51.74,3.4213,46.78,55.11,16.3,3,1,A^2
POPE:POPG (187:63),area_per_lipid,-,computational,35C,2,55.77,55.77,0.13,55.64,55.9,0.5,2,1,A^2
POPE:SDG (29:3),area_per_lipid,-,computational,35C,1,56.77,56.77,0.0,56.77,56.77,0.0,1,1,A^2
POPE:SDG:CHOL (37:6:21),area_per_lipid,-,computational,35C,1,45.73,45.73,0.0,45.73,45.73,0.0,1,1,A^2
POPG,area_per_lipid,-,computational,25C,2,66.4,66.4,0.77,65.63,67.17,2.3,2,2,A^2
POPG,area_per_lipid,-,computational,35C,10,63.57,65.515,4.4056,57.58,68.88,17.8,10,4,A^2
POPG:DPPGK:TOCL (12:7:1),area_per_lipid,-,computational,30C,1,65.02,65.02,0.0,65.02,65.02,0.0,1,1,A^2
POPG:POPC (1:1),area_per_lipid,-,computational,25C,11,59.44,59.04,3.4286,54.7,64.68,16.8,9,3,A^2
POPG:POPC (1:4),area_per_lipid,-,computational,25C,2,60.36,60.36,3.34,57.02,63.7,11.1,2,1,A^2
POPG:POPC (3:7),area_per_lipid,-,computational,35C,5,65.114,64.8,1.4116,63.34,66.99,5.6,5,3,A^2
POPG:POPC (44:175),area_per_lipid,-,computational,25C,6,62.5733,62.625,1.7481,60.13,65.34,8.3,6,2,A^2
POPG:POPE (187:63),area_per_lipid,-,computational,35C,8,62.5975,62.99,3.0778,57.75,66.5,14.0,8,4,A^2
POPG:POPE (63:187),area_per_lipid,-,computational,35C,6,59.64,60.595,1.9383,56.75,61.55,8.0,6,3,A^2
POPI:NH4 (?),area_per_lipid,-,computational,35C,1,60.74,60.74,0.0,60.74,60.74,0.0,1,1,A^2
POPI:POPC:NH4 (?),area_per_lipid,-,computational,35C,4,62.48,62.35,1.1693,61.08,64.14,4.9,4,1,A^2
POPI:POPE:NH4 (?),area_per_lipid,-,computational,35C,4,58.8175,58.795,0.822,57.7,59.98,3.9,4,1,A^2
POPS,area_per_lipid,-,computational,25C,23,57.3109,56.32,4.5119,50.12,66.35,28.3,13,7,A^2
POPS:POPC (1:1),area_per_lipid,-,computational,25C,3,62.0933,62.07,1.6861,60.04,64.17,6.7,2,2,A^2
POPS:POPC (1:10),area_per_lipid,-,computational,25C,2,63.0,63.0,0.08,62.92,63.08,0.3,1,1,A^2
POPS:POPC (1:4),area_per_lipid,-,computational,25C,2,63.175,63.175,0.305,62.87,63.48,1.0,1,1,A^2
POPS:POPC (1:5),area_per_lipid,-,computational,25C,32,61.1028,61.205,1.4524,57.68,64.26,10.8,14,3,A^2
POPS:POPC (1:5),area_per_lipid,-,computational,45C,3,63.9633,64.06,0.8804,62.84,64.99,3.4,1,1,A^2
PYPC,area_per_lipid,-,computational,60C,3,67.93,67.98,0.0852,67.81,68.0,0.3,1,1,A^2
SD5PC,area_per_lipid,-,computational,30C,2,69.33,69.33,0.09,69.24,69.42,0.3,1,1,A^2
SDPC,area_per_lipid,-,computational,30C,4,70.0925,70.055,0.082,70.03,70.23,0.3,2,1,A^2
SDPE:DOG (29:3),area_per_lipid,-,computational,35C,1,59.92,59.92,0.0,59.92,59.92,0.0,1,1,A^2
SDPE:DOG:CHOL (37:6:21),area_per_lipid,-,computational,35C,1,47.67,47.67,0.0,47.67,47.67,0.0,1,1,A^2
